	thin		medium		heavy
size	min	max	min	max	min	max
1	0	5	0	7	0	10
2	5	10	8	15	10	20
3	10	15	15	22	20	30
4	16	20	23	30	31	40
5	21	25	31	37	51	50
6	26	30	38	45	51	60
7	31	35	46	52	61	70
8	36	40	53	60	71	80
9	41	45	61	67	81	90
10	46	50	68	75	91	100
11	51	55	76	82	101	110
12	56	60	83	90	111	120
13	61	65	91	97	121	130
14	66	70	98	105	131	140
15	71	75	106	112	141	150
16	76	80	113	120	151	160
17	81	85	121	127	161	170
18	86	90	128	135	171	180
19	91	95	136	142	181	190
20	96	100	143	150	191	200
21	101	105	151	157	201	210
22	106	110	158	165	211	220
23	111	115	166	172	221	230
24	116	120	173	180	231	240
25	121	125	181	187	241	250
